,Unnamed: 0,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,ELMO_before,ELMO_after,predicted_actiwatch,total_counts,total_counts_actual,predicted_sleep,predicted_sleep_dervied,Time
9,10,03/01/2000 23:45:30,2.0,1.0,0.004,0.015,0.004,0,56.24,,1,1,23:45:30
10,11,03/01/2000 23:45:45,0.0,1.0,0.004,0.004,0.004,0,48.72,,1,1,23:45:45
11,12,03/01/2000 23:46:00,0.0,1.0,0.004,0.004,0.004,0,42.88,,1,1,23:46:00
12,13,03/01/2000 23:46:15,0.0,1.0,0.004,0.004,0.004,0,27.16,,1,1,23:46:15
13,14,03/01/2000 23:46:30,0.0,1.0,0.004,0.004,0.003,0,18.8,28.599999999999998,1,0,23:46:30
14,15,03/01/2000 23:46:45,0.0,1.0,0.003,0.004,0.003,0,18.96,25.200000000000003,1,0,23:46:45
15,16,03/01/2000 23:47:00,0.0,1.0,0.003,0.003,0.004,0,34.76,41.72,1,1,23:47:00
16,17,03/01/2000 23:47:15,0.0,1.0,0.004,0.003,0.002,0,53.56000000000001,65.28,1,1,23:47:15
17,18,03/01/2000 23:47:30,0.0,1.0,0.002,0.004,0.002,0,55.36,66.76,1,1,23:47:30
18,19,03/01/2000 23:47:45,0.0,1.0,0.002,0.002,0.071,0,64.76,78.04,1,1,23:47:45
19,20,03/01/2000 23:48:00,88.0,1.0,0.071,0.002,0.147,81,389.84000000000003,429.88,1,1,23:48:00
20,21,03/01/2000 23:48:15,144.0,1.0,0.147,0.071,0.021,116,542.84,674.84,1,1,23:48:15
21,22,03/01/2000 23:48:30,26.0,1.0,0.021,0.147,0.053,23,189.44000000000003,226.44,1,1,23:48:30
22,23,03/01/2000 23:48:45,67.0,1.0,0.053,0.021,0.142,51,300.8,384.8,1,1,23:48:45
23,24,03/01/2000 23:49:00,109.0,1.0,0.142,0.053,0.098,108,517.4,544.4,1,1,23:49:00
24,25,03/01/2000 23:49:15,201.0,1.0,0.098,0.142,0.002,125,569.0400000000001,879.9200000000001,1,1,23:49:15
25,26,03/01/2000 23:49:30,0.0,1.0,0.002,0.098,0.019,0,75.48,93.08000000000001,1,1,23:49:30
26,27,03/01/2000 23:49:45,16.0,1.0,0.019,0.002,0.001,31,189.60000000000002,149.72,1,1,23:49:45
27,28,03/01/2000 23:50:00,0.0,1.0,0.001,0.019,0.001,0,63.64,78.2,1,1,23:50:00
28,29,03/01/2000 23:50:15,0.0,1.0,0.001,0.001,0.001,0,43.120000000000005,57.24000000000001,1,1,23:50:15
29,30,03/01/2000 23:50:30,0.0,1.0,0.001,0.001,0.002,0,18.48,19.32,1,0,23:50:30
30,31,03/01/2000 23:50:45,0.0,1.0,0.002,0.001,0.001,0,17.56,18.28,1,0,23:50:45
